nama_tempat,alamat,jenis_bisnis,rating,jumlah_bintang,jumlah_review,jam_operasional,harga,latitude,longitude,telepon,website,kategori
Bakmi Serangkai Tembalang,"Jl. Mulawarman Raya No.11, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50264",Restoran Mie,4.4,5,78.0,Rabu 12.00–01.00  | Kamis 12.00–01.00  | Jumat 13.00–01.00  | Sabtu 12.00–01.00  | Minggu 12.00–01.00  | Senin 12.00–01.00  | Selasa 12.00–01.00 ,Rp 25.000–50.000,-7.0682949,110.4338875,0822-2527-1048,,bakmi
BAKSU (Bakmie & Katsu),"Jl. Timoho Bar. III No.38, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Restoran Mie,4.3,5,144.0,Rabu 09.00–21.00  | Kamis 09.00–21.00  | Jumat 09.00–21.00  | Sabtu 09.00–21.00  | Minggu 09.00–21.00  | Senin 09.00–21.00  | Selasa 09.00–21.00 ,Rp 1–25.000,-7.057076,110.444335,0895-3605-97975,,bakmi
Bakmi Surabaya Cak Dul 2,"Jl. Mulawarman Selatan Raya No.18, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278",Restoran Mie,4.0,5,495.0,Rabu 07.30–23.30  | Kamis 07.30–23.30  | Jumat 07.30–23.30  | Sabtu 07.30–23.30  | Minggu 07.30–23.30  | Senin 07.30–23.30  | Selasa 07.30–23.30 ,Rp 1–25.000,-7.0682042,110.4372738,0821-3400-6730,,bakmi
Mie Ayam Jakarta Bang Mail,"Jl baskoro no, 75, RT.3/RW.7, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Mie,4.6,5,1261.0,Rabu 09.00–18.00  | Kamis 09.00–18.00  | Jumat 09.00–18.00  | Sabtu 09.00–18.00  | Minggu Tutup  | Senin 09.00–18.00  | Selasa 09.00–18.00 ,Rp 1–25.000,-7.053149,110.43683,0896-6133-9995,,bakmi
Bakmi Juned,"Jl. Sambiroto, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.7,5,158.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu Tutup  | Senin Tutup  | Selasa 17.00–00.00 ,Rp 1–25.000,-7.0240155,110.4587897,,,bakmi
"Bakmie Jowo ""Mas Anto""","Jl. Sinar Waluyo Utara, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.5,5,61.0,Rabu 17.30–00.00  | Kamis Tutup  | Jumat 17.30–00.00  | Sabtu 17.30–00.00  | Minggu 17.30–00.00  | Senin 17.30–00.00  | Selasa 17.30–00.00 ,,-7.0244593,110.4737553,0896-6801-4356,,bakmi
Mie Surabaya Cak Bagus Ketileng,"Depan SDIT Tunas Harapan, Ruko Mutiara Gading A4, Jl. Ketileng Indah Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.5,5,458.0,Rabu 16.00–23.55  | Kamis 16.00–23.55  | Jumat 16.00–23.55  | Sabtu 16.00–23.55  | Minggu 16.00–23.55  | Senin 16.00–23.55  | Selasa 16.00–23.55 ,Rp 1–25.000,-7.0353436,110.4717919,0822-3047-3223,,bakmi
Bakmi Surabaya Cak Baron,"XFC9+768, Jl. Ketileng Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,27.0,Rabu 18.45–23.45  | Kamis 18.45–23.45  | Jumat 18.45–23.45  | Sabtu 18.45–23.45  | Minggu 18.45–23.45  | Senin 18.45–23.45  | Selasa 18.45–23.45 ,,-7.0293254,110.4680778,,,bakmi
Bakmi Dan Nasi Goreng Cak Budi,"Jl. Kompol R. Sukamto, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Nasi Goreng,4.7,5,138.0,Rabu 12.00–00.00  | Kamis 12.00–00.00  | Jumat 12.00–00.00  | Sabtu 12.00–00.00  | Minggu 12.00–00.00  | Senin 12.00–00.00  | Selasa 12.00–00.00 ,Rp 1–25.000,-7.0349665,110.4578418,0877-0025-4333,,bakmi
WARPAD Yamien & Ayam goreng,"Jl. Gondang Barat I No.7, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Kedai Sarapan & Makan Siang,4.5,5,496.0,Rabu 10.00–21.00  | Kamis 10.00–21.00  | Jumat 10.00–21.00  | Sabtu 10.00–21.00  | Minggu Tutup  | Senin 10.00–21.00  | Selasa 10.00–21.00 ,Rp 1–25.000,-7.0627192,110.4389557,0823-3675-1133,,bakmi
Bakmie Suroboyo,"XFHC+JFF, Jl. Mukharom, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.6,5,5.0,Rabu 12.00–22.00  | Kamis 12.00–22.00  | Jumat 12.00–22.00  | Sabtu 12.00–22.00  | Minggu 12.00–22.00  | Senin 12.00–22.00  | Selasa 12.00–22.00 ,,-7.0209261,110.4711605,,,bakmi
Bakmi Surabaya cak zun,"Jl. Kompol R. Soekanto, kota, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.3,5,44.0,Rabu 16.00–23.30  | Kamis 16.00–23.30  | Jumat 16.00–23.30  | Sabtu 16.00–23.30  | Minggu 16.00–23.30  | Senin 16.00–23.30  | Selasa 16.00–23.30 ,Rp 1–25.000,-7.0277046,110.459498,0857-1312-5010,,bakmi
Bakmi Jowo Mas Agus,"XF69+X82, Jl. Gendong Raya, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,29.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.0376188,110.468281,0819-0437-2937,,bakmi
Bakmie Pak Wi',"XFM8+HM8, Jl. Amposari Raya, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.5,5,44.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,Rp 1–25.000,-7.0160845,110.466717,0821-2831-6087,,bakmi
Bakmie Surabaya Mas Nopi,"Jl. Rogojembangan Raya No.147-151, Tandang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Restoran Mie,5.0,5,7.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.015127,110.4486258,0856-3258-158,,bakmi
Bakmi Jowo Mas Agus,"Jl. Sambiroto Raya No.6, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.5,5,99.0,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00 ,,-7.0323598,110.45811,0858-0213-9915,,bakmi
Mie Ayam Lada Hitam Si Jonti,"Jl. Bukit Elang A, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.5,5,2059.0,Rabu 09.00–20.00  | Kamis 09.00–20.00  | Jumat 09.00–20.00  | Sabtu 09.00–20.00  | Minggu 09.00–20.00  | Senin 09.00–20.00  | Selasa 09.00–20.00 ,Rp 1–25.000,-7.0410728,110.4660527,,,bakmi
BAKMI JOWO KANG DOEL,"XFH4+HPR, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274",Restoran Mie,4.9,5,16.0,Rabu 15.30–23.30  | Kamis 15.30–23.30  | Jumat 15.30–23.30  | Sabtu 15.30–23.30  | Minggu 15.30–23.30  | Senin 15.30–23.30  | Selasa 15.30–23.30 ,,-7.0210026,110.4567797,0812-2556-0512,,bakmi
BAKMI JOWO GM GAJAH MAKMUR,"Jl. Gayamsari Selatan I No.47, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50248",Restoran,4.9,5,30.0,Rabu 10.00–02.00  | Kamis 10.00–02.00  | Jumat 10.00–02.00  | Sabtu 10.00–02.00  | Minggu 10.00–02.00  | Senin 10.00–02.00  | Selasa 10.00–02.00 ,Rp 1–25.000,-7.0073053,110.4488455,0823-2276-4326,,bakmi
Mie Ayam Happy,"Jl. Kedungmundu No.510A, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273",Restoran Mie,4.6,5,2580.0,Rabu 10.00–21.00  | Kamis 10.00–21.00  | Jumat 10.00–21.00  | Sabtu 10.00–21.00  | Minggu 10.00–21.00  | Senin Tutup  | Selasa 10.00–21.00 ,Rp 1–25.000,-7.0234943,110.4588066,0812-2824-444,,bakmi
Bakmi Jowo Mas Agus,"XF69+X82, Jl. Gendong Raya, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",Restoran Mie,4.6,5,29.0,Rabu 17.00–00.00  | Kamis 17.00–00.00  | Jumat 17.00–00.00  | Sabtu 17.00–00.00  | Minggu 17.00–00.00  | Senin 17.00–00.00  | Selasa 17.00–00.00 ,,-7.0376188,110.468281,0819-0437-2937,,bakmi
Bakmi Jowo Mas Agus,"Jl. Sambiroto Raya No.6, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Restoran Mie,4.5,5,99.0,Rabu 17.00–02.00  | Kamis 17.00–02.00  | Jumat 17.00–02.00  | Sabtu 17.00–02.00  | Minggu 17.00–02.00  | Senin 17.00–02.00  | Selasa 17.00–02.00 ,,-7.0323598,110.45811,0858-0213-9915,,bakmi
PONDOK Bakmi Surabaya Cak DUL,"WFV7+478, Jl. Profesor Suharso, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Warung Makanan Kecil,3.9,5,14.0,Rabu 16.00–23.00  | Kamis 16.00–23.00  | Jumat 16.00–23.00  | Sabtu 16.00–23.00  | Minggu 16.00–23.00  | Senin 16.00–23.00  | Selasa 16.00–23.00 ,,-7.0572049,110.4631895,0813-2515-7257,,bakmi
Mie Aceh Bang Wali,"Jl. Banjarsari No.38, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275",Restoran Mie,4.3,5,352.0,Rabu 14.00–23.00  | Kamis 14.00–23.00  | Jumat 14.00–23.00  | Sabtu 14.00–23.00  | Minggu 14.00–23.00  | Senin 14.00–23.00  | Selasa 14.00–23.00 ,Rp 1–25.000,-7.0596782,110.4396313,,,bakmi
WARPAD Yamien & Ayam goreng,"Jl. Gondang Barat I No.7, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277",Kedai Sarapan & Makan Siang,4.5,5,496.0,Rabu 10.00–21.00  | Kamis 10.00–21.00  | Jumat 10.00–21.00  | Sabtu 10.00–21.00  | Minggu Tutup  | Senin 10.00–21.00  | Selasa 10.00–21.00 ,Rp 1–25.000,-7.0627192,110.4389557,0823-3675-1133,,bakmi
